priority,name,scope,contracts,website,status,verdict,reason
1623,Semi-Independent House,Regional,7,https://semi-independent-house.net/,pending,,
1624,The Baca Charity,Regional,7,https://www.bacacharity.org.uk,pending,,
1625,Three Counties Housing Care and Support,Regional,7,http://www.tccs.org.uk/,pending,,
1626,Babcam Support For Living Limited,Regional,5,https://bethamsupportliving.com/,pending,,
1627,Mears Group,Regional,7,https://www.mearsgroup.co.uk/,pending,,
1628,Catch22 Charity Limited,Regional,6,http://www.catch-22.org.uk/,pending,,
1629,EMH Housing and Regeneration Limited (Enable Care and Home Suppo,Regional,6,https://www.emh.co.uk/,pending,,
1630,The Park Lodge Project,Regional,7,https://www.parklodgeproject.org/,pending,,
1631,Ridley Recycling Ltd T/A Peter Ridley Waste Systems,Regional,6,http://www.peterridley.co.uk/,pending,,
1632,Ymca,Regional,5,https://ymcanewarksherwood.org/climbing,pending,,
1633,People Potential Possibilities,National,10,https://www.p3charity.org,pending,,
1634,Thera Trust,National,13,https://www.thera.co.uk,pending,,
1635,The Riverside Group,National,17,https://www.riverside.org.uk,pending,,
1636,Richmond Fellowship,National,10,https://www.richmondfellowship.org.uk,pending,,
1637,Voyage Care,National,9,https://www.voyagecare.com,pending,,
1638,accomplish group,National,9,https://www.accomplishgroup.co.uk,pending,,
1639,Making Space,National,16,https://makingspace.org/,pending,,
1640,Voyage,National,17,https://www.voyagemaison.com/,pending,,
1641,Keys PCE Limited,National,19,http://www.keys-group.co.uk/,pending,,
