scrape_action,Company,Sector,Council,"Contracts (this council, this sector)",Categories,Most Recent Award,Contract Titles,ONS Region,Commissioner Type,Geographic Scope,source_portal,source_url,contract_value_gbp,cpv_codes
ADD_CONTRACT_TO_EXISTING_PROVIDER,Matthews & Tannert Limited,Housing,Nottingham City Council,1,Supported accommodation,11/05/2026,CPU 7391 - Housing Supply and Installation of Vinyl and Wet room Flooring Covering,,Local Council,Local,contractsfinder,https://www.contractsfinder.service.gov.uk/Notice/89356610-8ade-4b97-95c5-3c60c14fa966-900438,420000,
ADD_CONTRACT_TO_EXISTING_PROVIDER,Perk UK Ltd,Housing,Liverpool City Council,1,Emergency accommodation | Emergency housing,26/03/2026,Interim and Temporary Accommodation,,Local Council,Local,contractsfinder,https://www.contractsfinder.service.gov.uk/Notice/bf43b534-f24f-4894-a6f7-77674c88c569-897014,90000000,
ADD_CONTRACT_TO_EXISTING_PROVIDER,Access UK Limited,Housing,NHS SHARED BUSINESS SERVICES LIMITED,1,Supported accommodation,10/10/2025,Digital CHC and Case Management Solution,,NHS,Local,contractsfinder,https://www.contractsfinder.service.gov.uk/Notice/ef70f071-51c8-4c8b-8bf6-49427d896b6c-893233,45000,
